#trace82	trace84	trace86	trace88
-90.699013	-55.266335	-113.34891	-73.006554
-93.631248	-52.952278	-109.07607	-78.677765
-100.3158	-54.691376	-106.92175	-82.703011
-106.98215	-57.490955	-110.31136	-82.905334
-110.37734	-57.742599	-120.73512	-79.873947
-110.45058	-54.022171	-138.50583	-78.442947
-107.78416	-50.134426	-158.35765	-84.070763
-102.33706	-51.953323	-168.1577	-97.13633
-96.383972	-60.733719	-161.63145	-111.94955
-93.909737	-70.230293	-143.62917	-123.10289
-95.383896	-73.727905	-122.2474	-130.10135
-96.963753	-73.48172	-104.50354	-136.34842
-96.469177	-78.024521	-95.642235	-147.62914
-95.459213	-90.363106	-96.963478	-166.54066
-95.016747	-102.7513	-104.6687	-188.30368
-94.158012	-104.70545	-110.30725	-205.48967
-93.456863	-95.284454	-107.22829	-211.19394
-97.367004	-83.070679	-99.146713	-202.63791
-107.50259	-74.639542	-94.543793	-185.41705
-117.24375	-71.09095	-96.097588	-168.57033
-118.51384	-72.66011	-100.28193	-158.06929
-109.41609	-77.672874	-101.0843	-155.00868
-94.575897	-81.603928	-94.358444	-157.32388
-79.640396	-81.809471	-82.163292	-163.67545
-67.003212	-79.518753	-71.327049	-172.27769
-56.751965	-77.058083	-65.116867	-177.10988
-50.51593	-77.283829	-60.486172	-173.51483
-52.079082	-83.079834	-54.746571	-165.16225
-62.486286	-91.374405	-48.574997	-158.1449
-77.103218	-93.334167	-44.405624	-152.57951
-88.917068	-87.406952	-45.152046	-144.80705
-94.367844	-82.665291	-50.746155	-132.38074
-95.864288	-84.96283	-56.210449	-116.65945
-96.862747	-92.387611	-57.827393	-104.09343
-97.742447	-101.55847	-58.766975	-100.63282
-99.301949	-107.28041	-62.137947	-103.62762
-106.65144	-102.93285	-63.704659	-105.95559
-122.90286	-90.122131	-61.347363	-108.63632
-140.60634	-77.122772	-61.046944	-120.79732
-148.75162	-69.382797	-66.652756	-145.57104
-144.93716	-70.818573	-73.473717	-172.37735
-135.05507	-82.714439	-74.588898	-188.47488
-124.66965	-98.535828	-70.241867	-192.24358
-114.28563	-110.27643	-66.043793	-187.97462
-102.98553	-118.36288	-64.002785	-177.28528
-93.456802	-125.67841	-61.604103	-163.45708
-89.83699	-128.10316	-58.731152	-155.74252
-93.534477	-123.08837	-60.601227	-160.70357
-103.10843	-116.64952	-71.647736	-173.19475
-114.01798	-113.51505	-90.154114	-181.08701
-121.59875	-111.75201	-109.8645	-177.35155
-125.29163	-108.37234	-122.65215	-163.94817
-126.1485	-103.56358	-123.43159	-146.74541
-125.67844	-99.374153	-114.42191	-129.84697
-126.97514	-96.628166	-102.15596	-113.91955
-130.67082	-94.950989	-93.237076	-98.090614
-134.90305	-94.395874	-90.239639	-81.196022
-141.0663	-94.239876	-90.857033	-63.30389
-150.37117	-90.42775	-91.488434	-48.72081
-158.25308	-79.466866	-89.680489	-43.939346
-160.3284	-65.099136	-84.12114	-50.267754
-157.01711	-54.061722	-76.402405	-61.843468
-149.46429	-47.081402	-73.081017	-73.067101
-138.05272	-41.244125	-78.395065	-84.729561
-124.41204	-37.079094	-86.938637	-98.206291
-110.91967	-36.754059	-90.161095	-108.75603
-99.54126	-40.322376	-85.653038	-111.08773
-91.469231	-46.494331	-77.061378	-105.09648
-85.508995	-55.205517	-70.152267	-94.638985
-79.719559	-69.855621	-68.596916	-85.046394
-75.934937	-92.961678	-70.684555	-79.940529
-77.480484	-118.06362	-72.789421	-78.118492
-82.305466	-134.34517	-74.149193	-76.769974
-85.042465	-138.16206	-74.710495	-76.112244
-84.522491	-132.20038	-72.517342	-75.436256
-83.713829	-119.18353	-66.481979	-71.549088
-85.958328	-103.15381	-58.840443	-65.511253
-91.664856	-90.372101	-54.645927	-61.880589
-97.11335	-82.632095	-58.001648	-60.872829
-99.434441	-76.024712	-67.780373	-58.813271
-99.634468	-68.36676	-78.584221	-55.204475
-99.2332	-61.783936	-86.151672	-52.008629
-99.135635	-59.069103	-91.59333	-48.872158
-101.53074	-61.320797	-98.116577	-44.941227
-107.9302	-68.230766	-104.965	-42.036015
-115.10381	-77.695549	-108.6637	-40.845383
-117.03786	-86.128235	-108.26944	-39.590092
-111.14755	-91.715126	-104.59969	-38.774021
-100.80066	-94.867889	-98.053268	-41.527832
-92.444984	-95.640114	-90.015938	-50.100403
-90.191689	-93.037971	-83.683479	-63.262558
-93.903831	-85.565689	-80.43132	-77.731781
-104.35748	-73.10408	-76.268112	-90.692444
-123.29834	-59.273026	-67.155922	-97.48761
-142.2626	-49.148754	-54.03244	-93.944611
-147.52382	-46.246571	-41.067146	-84.603333
-139.27876	-53.644657	-34.323227	-78.603798
-127.11958	-71.069733	-38.591095	-78.613655
-113.2173	-90.491096	-51.977089	-82.633659
-96.005333	-102.63848	-64.976425	-89.991005
-80.60994	-110.51108	-67.644112	-99.645729
