#trace90	trace92	trace94
-81.64061	-92.081894	-68.162315
-68.506615	-93.807114	-79.544731
-62.483192	-91.822716	-89.809898
-64.686531	-92.86528	-98.69709
-70.992256	-101.28883	-102.93383
-77.024902	-114.08486	-98.818802
-80.790543	-124.08318	-89.105186
-81.233276	-127.56642	-80.88736
-78.101944	-125.42406	-78.949516
-72.616646	-119.98393	-82.087509
-67.887466	-113.35255	-84.552002
-68.367043	-107.48432	-84.273758
-75.097061	-104.1319	-86.816231
-83.375862	-101.67212	-95.818924
-87.972351	-96.266258	-105.06293
-87.155426	-87.980896	-106.37868
-82.256187	-81.604164	-99.572212
-76.544312	-81.591003	-89.657738
-73.294685	-85.576485	-79.701523
-73.93116	-86.210388	-70.17598
-77.794052	-80.712257	-62.696499
-83.117416	-74.114052	-60.201061
-86.59272	-72.889946	-64.066292
-85.077713	-77.560371	-73.015533
-80.371559	-83.907623	-83.179077
-77.086472	-88.143311	-88.875412
-75.655785	-88.616707	-86.702591
-72.584534	-85.790085	-78.384285
-66.413605	-80.441452	-68.086876
-58.539639	-73.989067	-59.930626
-50.995937	-69.236588	-54.678753
-46.272106	-66.210815	-48.474274
-45.854946	-62.200714	-39.460541
-48.918289	-57.447929	-31.001801
-52.7201	-54.800388	-25.599777
-52.663277	-55.206699	-22.307064
-46.506405	-56.572407	-20.143785
-37.80637	-55.911354	-19.443481
-30.645967	-52.026203	-20.793123
-25.099491	-46.216679	-23.057638
-20.726109	-40.936764	-23.881481
-18.881521	-37.168831	-22.470963
-18.9116	-32.793385	-19.075922
-17.057474	-25.790081	-14.229091
-11.752178	-18.434969	-10.306638
-6.2481236	-14.101391	-9.5950804
-4.7365227	-12.271715	-10.692275
-9.3325186	-11.044119	-10.936523
-19.280754	-10.963167	-10.082434
-30.469366	-12.775726	-8.4668646
-38.892498	-15.065331	-5.402359
-44.146763	-16.095224	-1.2436365
-46.954098	-16.093601	2.0664692
-46.227463	-16.104248	3.595938
-41.298145	-15.375941	3.7416139
-35.197182	-13.614566	1.5097194
-31.432606	-12.765178	-3.3455405
-28.808426	-13.568858	-6.6728554
-23.645317	-15.602377	-4.6500649
-16.35384	-19.228827	0.65779483
-12.062649	-23.860096	4.7313576
